cpu name =I7_5960X based on Haswell micro arch - Haswell-E decline - 4th generation Intel Core
 colidx: add:              6329472 size:            163800060
 a: add:            828329824 size:            327600120
 x: add:           1155929944 size:              1200016
 z: add:           1157129960 size:              1200016
 p: add:           1158329976 size:              1200016
 r: add:           1160730008 size:              1200016
 q: add:           1159529992 size:              1200016
loc(sm) = 0x46fcfe00	loc(add)=0x7fffa62b6e38


 NAS Parallel Benchmarks 3.3 -- CG Benchmark

 Size:     150000
 Iterations:    75
 Number of active processes:     1
 Number of nonzeroes per row:       15
 Eigenvalue shift: .110E+03
 sampling_check =            0
 sampling_check =            1
 Phase 1: 
loc(sm) = 0x46fcfe00

Starting memory sampling
fd_per_tid = 13
measure->nb_threads=1
33333333fd_per_tid = 13
sm = 0x46fcfe00
stop loc(add)0x46fcfe00

Memory read sampling results
pc=402942, @=140735981247096, src level=L1 Hit, latency=194
pc=402942, @=140735981247096, src level=L1 Hit, latency=152
pc=40293c, @=1158842040, src level=L3 Hit, latency=58
pc=402942, @=140735981247096, src level=L1 Hit, latency=150
pc=402942, @=140735981247096, src level=L1 Hit, latency=204
pc=40293c, @=1159026936, src level=L3 Hit, latency=48
pc=402942, @=140735981247096, src level=L1 Hit, latency=153
pc=402942, @=140735981247096, src level=L1 Hit, latency=180
pc=402942, @=140735981247096, src level=L1 Hit, latency=207
pc=402942, @=140735981247096, src level=L1 Hit, latency=313
pc=402942, @=140735981247096, src level=L1 Hit, latency=261
pc=402936, @=833351080, src level=LFB Hit, latency=88
pc=40293c, @=1158574480, src level=L3 Hit, latency=50
pc=402936, @=834168392, src level=LFB Hit, latency=241
pc=402936, @=834585288, src level=LFB Hit, latency=245
pc=402942, @=140735981247096, src level=L1 Hit, latency=151
pc=402932, @=9868248, src level=LFB Hit, latency=205
pc=402936, @=835823584, src level=LFB Hit, latency=127
pc=402942, @=140735981247096, src level=L1 Hit, latency=235
pc=402942, @=140735981247096, src level=L1 Hit, latency=158
pc=402936, @=837064968, src level=LFB Hit, latency=43
pc=402936, @=837511664, src level=LFB Hit, latency=194
pc=402936, @=837927368, src level=LFB Hit, latency=109
pc=402936, @=838348560, src level=LFB Hit, latency=48
pc=40293c, @=1158766728, src level=L3 Hit, latency=54
pc=402942, @=140735981247096, src level=L1 Hit, latency=152
pc=40293c, @=1158516256, src level=L3 Hit, latency=56
pc=402936, @=840008656, src level=LFB Hit, latency=379
pc=402942, @=140735981247096, src level=L1 Hit, latency=309
pc=402942, @=140735981247096, src level=L1 Hit, latency=134
pc=402936, @=841268400, src level=LFB Hit, latency=67
pc=402942, @=140735981247096, src level=L1 Hit, latency=156
pc=402936, @=842073480, src level=LFB Hit, latency=83
pc=402942, @=140735981247096, src level=L1 Hit, latency=149
pc=402942, @=140735981247096, src level=L1 Hit, latency=236
pc=40293c, @=1159031752, src level=L3 Hit, latency=53
pc=402936, @=843751168, src level=LFB Hit, latency=108
pc=402936, @=844178920, src level=LFB Hit, latency=62
pc=40293c, @=1158946352, src level=Local RAM Hit, latency=60
pc=40293c, @=1158968888, src level=L3 Hit, latency=61
pc=402942, @=140735981247096, src level=L1 Hit, latency=181
pc=402932, @=15075012, src level=LFB Hit, latency=234
pc=402936, @=846249488, src level=LFB Hit, latency=149
pc=402942, @=140735981247096, src level=L1 Hit, latency=186
pc=40293c, @=1159264912, src level=L3 Hit, latency=97
pc=40293c, @=1159330104, src level=L3 Hit, latency=87
pc=402936, @=847903248, src level=LFB Hit, latency=105
pc=402942, @=140735981247096, src level=L1 Hit, latency=220
pc=402942, @=140735981247096, src level=L1 Hit, latency=165
pc=402942, @=140735981247096, src level=L1 Hit, latency=155
pc=40293c, @=1159045152, src level=L3 Hit, latency=53
pc=402942, @=140735981247096, src level=L1 Hit, latency=279
pc=40293c, @=1159499152, src level=L3 Hit, latency=54
pc=40293c, @=1158906176, src level=L3 Hit, latency=66
pc=40293c, @=1158777040, src level=L3 Hit, latency=58
pc=402936, @=851675944, src level=LFB Hit, latency=180
pc=402936, @=852106688, src level=LFB Hit, latency=212
pc=402942, @=140735981247096, src level=L1 Hit, latency=154
pc=402942, @=140735981247096, src level=L1 Hit, latency=152
pc=402936, @=853402072, src level=LFB Hit, latency=52
pc=402936, @=853810560, src level=LFB Hit, latency=115
pc=402932, @=19280272, src level=LFB Hit, latency=250
pc=402942, @=140735981247096, src level=L1 Hit, latency=161
pc=402942, @=140735981247096, src level=L1 Hit, latency=132
pc=40293c, @=1159050352, src level=L3 Hit, latency=43
pc=402936, @=855876808, src level=LFB Hit, latency=221
pc=402942, @=140735981247096, src level=L1 Hit, latency=152
pc=40293c, @=1158815456, src level=L3 Hit, latency=61
pc=402942, @=140735981247096, src level=L1 Hit, latency=98
pc=402942, @=140735981247096, src level=L1 Hit, latency=131
pc=402942, @=140735981247096, src level=L1 Hit, latency=131
pc=402932, @=21351592, src level=LFB Hit, latency=540
pc=402942, @=140735981247096, src level=L1 Hit, latency=134
pc=402942, @=140735981247096, src level=L1 Hit, latency=252
pc=402936, @=859639640, src level=LFB Hit, latency=62
pc=402936, @=860059232, src level=LFB Hit, latency=62
pc=402942, @=140735981247096, src level=L1 Hit, latency=123
pc=402936, @=860908440, src level=LFB Hit, latency=61
pc=402942, @=140735981247096, src level=L1 Hit, latency=157
pc=402942, @=140735981247096, src level=L1 Hit, latency=132
pc=402942, @=140735981247096, src level=L1 Hit, latency=130
pc=402942, @=140735981247096, src level=L1 Hit, latency=155
pc=402942, @=140735981247096, src level=L1 Hit, latency=233
pc=402942, @=140735981247096, src level=L1 Hit, latency=122
pc=402942, @=140735981247096, src level=L1 Hit, latency=316
pc=402936, @=864245664, src level=LFB Hit, latency=45
pc=40293c, @=1159179584, src level=L3 Hit, latency=44
pc=402936, @=865079536, src level=LFB Hit, latency=138
pc=40293c, @=1158938080, src level=Local RAM Hit, latency=65
pc=402942, @=140735981247096, src level=L1 Hit, latency=242
pc=40293c, @=1159428008, src level=L3 Hit, latency=51
pc=402942, @=140735981247096, src level=L1 Hit, latency=245
pc=402942, @=140735981247096, src level=L1 Hit, latency=154
pc=402942, @=140735981247096, src level=L1 Hit, latency=155
pc=402942, @=140735981247096, src level=L1 Hit, latency=141
pc=402942, @=140735981247096, src level=L1 Hit, latency=125
pc=402932, @=26562904, src level=LFB Hit, latency=187
pc=402942, @=140735981247096, src level=L1 Hit, latency=147
pc=402942, @=140735981247096, src level=L1 Hit, latency=247
pc=402936, @=870040320, src level=LFB Hit, latency=99
pc=40293c, @=1158959040, src level=L3 Hit, latency=48
pc=402936, @=870899416, src level=LFB Hit, latency=74
pc=40293c, @=1158942984, src level=L3 Hit, latency=54
pc=402942, @=140735981247096, src level=L1 Hit, latency=124
pc=402942, @=140735981247096, src level=L1 Hit, latency=247
pc=402942, @=140735981247096, src level=L1 Hit, latency=172
pc=40293c, @=1158820784, src level=L3 Hit, latency=99
pc=402942, @=140735981247096, src level=L1 Hit, latency=151
pc=40293c, @=1158676400, src level=L3 Hit, latency=44
pc=402932, @=29265996, src level=LFB Hit, latency=71
pc=40293c, @=1159057240, src level=L3 Hit, latency=49
pc=402942, @=140735981247096, src level=L1 Hit, latency=330
pc=402942, @=140735981247096, src level=L1 Hit, latency=93
pc=40293c, @=1158564016, src level=L3 Hit, latency=58
pc=402932, @=30287436, src level=LFB Hit, latency=220
pc=402936, @=876638400, src level=LFB Hit, latency=73
pc=40293c, @=1158776944, src level=L3 Hit, latency=77
pc=402942, @=140735981247096, src level=L1 Hit, latency=846
pc=40293c, @=1158700392, src level=L3 Hit, latency=93
pc=402936, @=878268880, src level=LFB Hit, latency=73
pc=402942, @=140735981247096, src level=L1 Hit, latency=184
pc=402942, @=140735981247096, src level=L1 Hit, latency=247
pc=40293c, @=1158772464, src level=L3 Hit, latency=47
pc=40293c, @=1159471888, src level=L2 Hit, latency=45
pc=402942, @=140735981247096, src level=L1 Hit, latency=153
pc=402942, @=140735981247096, src level=L1 Hit, latency=286
pc=40293c, @=1159242216, src level=L3 Hit, latency=43
pc=402942, @=140735981247096, src level=L1 Hit, latency=232
pc=402942, @=140735981247096, src level=L1 Hit, latency=270
pc=40293c, @=1158446160, src level=LFB Hit, latency=51
pc=402936, @=882853064, src level=LFB Hit, latency=146
pc=402936, @=883257864, src level=LFB Hit, latency=123
pc=40293c, @=1159476648, src level=L3 Hit, latency=46
pc=40293c, @=1159474184, src level=L3 Hit, latency=65
pc=402936, @=884491696, src level=LFB Hit, latency=87
pc=402942, @=140735981247096, src level=L1 Hit, latency=227
pc=402936, @=885316296, src level=LFB Hit, latency=82
pc=402942, @=140735981247096, src level=L1 Hit, latency=150
pc=402936, @=886163872, src level=LFB Hit, latency=63
pc=402932, @=35456228, src level=LFB Hit, latency=102
pc=40293c, @=1159440632, src level=L3 Hit, latency=45
pc=402936, @=887420776, src level=LFB Hit, latency=222
pc=40293c, @=1159170904, src level=L3 Hit, latency=56
pc=40293c, @=1159007696, src level=Local RAM Hit, latency=60
pc=402942, @=140735981247096, src level=L1 Hit, latency=215
pc=402936, @=889076096, src level=Local RAM Hit, latency=250
pc=402942, @=140735981247096, src level=L1 Hit, latency=137
